# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
       680     9.31162e-06     4.76653e-08
       681     9.30829e-06     4.76121e-08
       682     9.30498e-06     4.75590e-08
       683     9.30167e-06     4.75062e-08
       684     9.29838e-06     4.74535e-08
       685     9.29510e-06     4.74011e-08
       686     9.29183e-06     4.73488e-08
       687     9.28858e-06     4.72968e-08
       688     9.28533e-06     4.72449e-08
       689     9.28210e-06     4.71933e-08
       690     9.27888e-06     4.71418e-08
       691     9.27567e-06     4.70905e-08
       692     9.27247e-06     4.70394e-08
       693     9.26928e-06     4.69885e-08
       694     9.26611e-06     4.69378e-08
       695     9.26294e-06     4.68872e-08
       696     9.25979e-06     4.68369e-08
       697     9.25665e-06     4.67867e-08
       698     9.25352e-06     4.67367e-08
       699     9.25040e-06     4.66869e-08
       700     9.24730e-06     4.66373e-08
       701     9.24420e-06     4.65878e-08
       702     9.24111e-06     4.65386e-08
       703     9.23804e-06     4.64895e-08
       704     9.23498e-06     4.64405e-08
       705     9.23192e-06     4.63918e-08
       706     9.22888e-06     4.63432e-08
       707     9.22585e-06     4.62948e-08
       708     9.22283e-06     4.62466e-08
       709     9.21982e-06     4.61985e-08
       710     9.21682e-06     4.61506e-08
       711     9.21384e-06     4.61029e-08
